year,project,n_total,our_rank,our_percentile,our_final
2021,001 - Co-60 Gamma Water1,232,68,29.310344827586203,A
2021,002 - Cs-134 Gamma Water1,238,64,26.89075630252101,A
2021,003 - Cs-137 Gamma Water1,245,58,23.6734693877551,A
2021,004 - Am-241 Gamma Water1,214,73,34.112149532710276,A
2021,005 - Sr-90 Beta Water2,100,42,42.0,A
2021,006 - Ba-133 Water2,226,3,1.3274336283185841,A
2021,007 - Cs-137 Gamma Water2,245,21,8.571428571428571,A
2021,008 - Am-241 Gamma Water2,211,22,10.42654028436019,A
2021,012 - Cs-134 Gamma Water3,224,76,33.92857142857143,A
2021,013 - Cs-137 Gamma Water3,230,30,13.043478260869565,A
2022,001 - Co-60 Gamma Water1,244,1,0.4098360655737705,A
2022,002 - Sr-90 Beta Water1,96,22,22.916666666666664,A
2022,003 - Cs-134 Gamma Water1,252,25,9.920634920634921,A
2022,004 - Cs-137 Gamma Water1,254,22,8.661417322834646,A
2022,005 - Po-210 Alpha Water1,46,4,8.695652173913043,A
2022,006 - Pb-210 Beta Water1,144,8,5.555555555555555,A
2022,007 - H-3 Beta Water2,104,19,18.269230769230766,A
2022,008 - Sr-90 Beta Water2,107,14,13.084112149532709,A
2022,009 - Cs-137 Gamma Water2,252,67,26.58730158730159,A
2022,010 - Po-210 Alpha Water2,42,15,35.714285714285715,A
2022,011 - Pb-210 Beta Water2,71,7,9.859154929577464,A
2022,012 - Am-241 Gamma Water2,223,28,12.556053811659194,A
2022,013 - Cs-134 Gamma Water3,248,22,8.870967741935484,A
2022,014 - Cs-137 Gamma Water3,250,135,54.0,A
2022,016 - Am-241 Gamma Water3,118,40,33.89830508474576,A
2023,01 - H-3 Beta Water1,124,41,33.064516129032256,A
2023,02 - Co-60 Gamma Water1,285,74,25.964912280701753,A
2023,03 - U-234 Alpha Water1,78,40,51.28205128205128,A
2023,04 - U-235 Alpha Water1,69,4,5.797101449275362,A
2023,05 - U-238 Alpha Water1,81,1,1.2345679012345678,A
2023,07 - Am-241 Gamma Water1,267,70,26.217228464419474,A
2023,08 - Sr-90 Beta Water2,120,52,43.333333333333336,A
2023,09 - Sb-125 Gamma Water2,232,27,11.637931034482758,A
2023,10 - Cs-134 Gamma Water2,287,12,4.181184668989547,A
2023,11 - Cs-137 Gamma Water2,287,32,11.149825783972126,A
2023,12 - Po-210 Alpha Water2,39,3,7.6923076923076925,A
2023,13 - Pb-210 Beta Water2,31,5,16.129032258064516,A
2023,15 - Ra-226 Alpha Water2,58,14,24.137931034482758,A
2023,17 - K-40 Gamma Soil,218,77,35.321100917431195,A
2023,18 - Cs-134 Gamma Soil,223,110,49.327354260089685,A
2023,19 - Cs-137 Gamma Soil,247,78,31.57894736842105,A
2023,26 - Ra-226 Gamma Soil,113,11,9.734513274336283,A
2023,28 - Th-234 Gamma Soil,37,1,2.7027027027027026,A
2023,30 - Cs-134 Gamma Surface1,205,14,6.829268292682928,A
2023,31 - Sr-90 Beta Surface1,106,32,30.18867924528302,A
2023,32 - Cs-134 Gamma Surface2,207,20,9.66183574879227,A
2023,33 - Sr-90 Beta Surface3,126,67,53.17460317460318,W
2024,001 - Eu-152 Gamma Water,382,64,16.75392670157068,A
2024,002 - Po-210 Alpha Water,77,48,62.33766233766234,A
2024,004 - Pb-210 Beta Water,63,24,38.095238095238095,A
2024,005 - Total U ICP-MS Water,76,14,18.421052631578945,A
2024,006 - U-235 ICP-MS Water,65,18,27.692307692307693,A
2024,007 - U-238 ICP-MS Water,72,12,16.666666666666664,A
2024,008 - H-3 Beta Water,198,11,5.555555555555555,A
2024,009 - Sr-90 Beta Water,192,11,5.729166666666666,A
2024,010 - Na-22 Gamma Water,353,33,9.34844192634561,A
2024,011 - Ra-226 Alpha Water,107,3,2.803738317757009,A
2024,012 - Ra-226 Gamma Water,133,1,0.7518796992481203,A
2024,013 - Bi-212 Gamma Sediment,205,59,28.780487804878046,A
2024,014 - Pb-212 Gamma Sediment,269,90,33.457249070631974,A
2024,015 - Ac-228 Gamma Sediment,292,110,37.67123287671233,A
2024,018 - Tl-208 Gamma Sediment,233,51,21.888412017167383,A
2024,021 - K-40 Gamma Sediment,381,109,28.608923884514436,A
2024,022 - Pb-214 Gamma Sediment,256,1,0.390625,A
2024,023 - Ra-226 Gamma Sediment,279,1,0.35842293906810035,A
2024,024 - Th-234 Gamma Sediment,138,64,46.3768115942029,A
2024,027 - Bi-214 Gamma Sediment,260,1,0.38461538461538464,A
2024,031 - Ac-228 Gamma Soil,294,17,5.782312925170068,A
2024,032 - Pb-212 Gamma Soil,270,1,0.3703703703703704,A
2024,033 - Tl-208 Gamma Soil,231,18,7.792207792207792,A
2024,036 - Bi-214 Gamma Soil,264,84,31.818181818181817,A
2024,037 - Pb-214 Gamma Soil,261,90,34.48275862068966,A
2024,038 - Ra-226 Gamma Soil,275,85,30.909090909090907,A
2024,039 - Th-234 Gamma Soil,144,88,61.111111111111114,A
2024,042 - Bi-212 Gamma Soil,200,20,10.0,A
2024,043 - Cs-134 Gamma Surface,339,1,0.2949852507374631,A
2024,044 - Sr-90 Beta Surface,197,66,33.50253807106599,A
2025,01 - H-3 Beta Water1,183,22,12.021857923497267,A
2025,02 - Na-22 Gamma Water1,309,38,12.297734627831716,A
2025,03 - Co-60 Gamma Water1,336,102,30.357142857142854,A
2025,04 - Sr-90 Beta Water1,175,40,22.857142857142858,A
2025,05 - Ba-133 Gamma Water1,321,52,16.1993769470405,A
2025,06 - Cs-134 Gamma Water1,336,7,2.083333333333333,A
2025,07 - Cs-137 Gamma Water1,339,1,0.2949852507374631,A
2025,08 - Po-210 Alpha Water1,108,41,37.96296296296296,A
2025,09 - Pb-210 Beta Water1,133,55,41.35338345864661,A
2025,11 - U-234 Alpha Water2,111,76,68.46846846846847,A
2025,12 - U-235 ICP-MS Water2,54,23,42.592592592592595,A
2025,13 - U-235 Alpha Water2,79,32,40.50632911392405,W
2025,14 - U-238 Alpha Water2,115,53,46.08695652173913,A
2025,15 - U-238 ICP-MS Water2,62,32,51.61290322580645,A
2025,16 - Total-U ICP-MS Water2,73,36,49.31506849315068,A
2025,17 - K-40 Gamma Soil,316,44,13.924050632911392,A
2025,18 - Cs-137 Gamma Soil,316,194,61.39240506329114,A
2025,19 - Tl-208 Gamma Soil,197,109,55.32994923857868,A
2025,20 - Pb-210 Gamma Soil,161,66,40.993788819875775,A
2025,21 - Bi-212 Gamma Soil,155,21,13.548387096774196,A
2025,22 - Pb-212 Gamma Soil,214,95,44.39252336448598,A
2025,23 - Pb-214 Gamma Soil,211,4,1.8957345971563981,A
2025,24 - Bi-214 Gamma Soil,216,3,1.3888888888888888,A
2025,25 - Ra-226 Gamma Soil,218,4,1.834862385321101,A
2025,26 - Ac-228 Gamma Soil,238,134,56.30252100840336,A
2025,27 - Th-232 Gamma Soil,84,49,58.333333333333336,A
2025,28 - Pa-234m Gamma Soil,24,5,20.833333333333336,A
2025,29 - Th-234 Gamma Soil,93,24,25.806451612903224,A
2025,31 - U-238 Gamma Soil,87,18,20.689655172413794,A
2025,32 - K-40 Gamma Plant,320,111,34.6875,A
2025,33 - Sr-90 Beta Surface,178,66,37.07865168539326,A
2025,34 - Ba-133 Gamma Surface,278,79,28.41726618705036,A
