labcode,high_difficulty_count_2023,total_high_difficulty_projects_2023,high_difficulty_rank_2023,high_difficulty_rate_2023,is_special,x,color,size
135,8,10,1,80.0,False,0,skyblue,40
85,8,10,1,80.0,False,1,skyblue,40
184,7,10,3,70.0,False,2,skyblue,40
247,7,10,3,70.0,False,3,skyblue,40
133,6,10,5,60.0,False,4,skyblue,40
43,6,10,5,60.0,True,5,red,80
166,6,10,5,60.0,False,6,skyblue,40
173,6,10,5,60.0,False,7,skyblue,40
185,6,10,5,60.0,False,8,skyblue,40
11,5,10,10,50.0,False,9,skyblue,40
112,5,10,10,50.0,False,10,skyblue,40
202,5,10,10,50.0,False,11,skyblue,40
66,5,10,10,50.0,False,12,skyblue,40
131,5,10,10,50.0,False,13,skyblue,40
272,5,10,10,50.0,False,14,skyblue,40
248,5,10,10,50.0,False,15,skyblue,40
270,5,10,10,50.0,False,16,skyblue,40
233,5,10,10,50.0,False,17,skyblue,40
183,5,10,10,50.0,False,18,skyblue,40
268,5,10,10,50.0,False,19,skyblue,40
293,5,10,10,50.0,False,20,skyblue,40
178,5,10,10,50.0,False,21,skyblue,40
155,5,10,10,50.0,False,22,skyblue,40
29,5,10,10,50.0,False,23,skyblue,40
79,4,10,25,40.0,False,24,skyblue,40
22,4,10,25,40.0,False,25,skyblue,40
107,4,10,25,40.0,False,26,skyblue,40
159,4,10,25,40.0,False,27,skyblue,40
104,4,10,25,40.0,False,28,skyblue,40
55,4,10,25,40.0,False,29,skyblue,40
17,4,10,25,40.0,False,30,skyblue,40
38,4,10,25,40.0,False,31,skyblue,40
27,4,10,25,40.0,False,32,skyblue,40
119,4,10,25,40.0,False,33,skyblue,40
300,4,10,25,40.0,False,34,skyblue,40
222,4,10,25,40.0,False,35,skyblue,40
6,4,10,25,40.0,False,36,skyblue,40
145,4,10,25,40.0,False,37,skyblue,40
23,4,10,25,40.0,False,38,skyblue,40
224,4,10,25,40.0,False,39,skyblue,40
201,4,10,25,40.0,False,40,skyblue,40
199,4,10,25,40.0,False,41,skyblue,40
188,4,10,25,40.0,False,42,skyblue,40
158,4,10,25,40.0,False,43,skyblue,40
174,4,10,25,40.0,False,44,skyblue,40
240,4,10,25,40.0,False,45,skyblue,40
47,4,10,25,40.0,False,46,skyblue,40
307,4,10,25,40.0,False,47,skyblue,40
180,4,10,25,40.0,False,48,skyblue,40
259,4,10,25,40.0,False,49,skyblue,40
275,4,10,25,40.0,False,50,skyblue,40
316,4,10,25,40.0,False,51,skyblue,40
1,3,10,53,30.0,False,52,skyblue,40
2,3,10,53,30.0,False,53,skyblue,40
40,3,10,53,30.0,False,54,skyblue,40
18,3,10,53,30.0,False,55,skyblue,40
14,3,10,53,30.0,False,56,skyblue,40
12,3,10,53,30.0,False,57,skyblue,40
10,3,10,53,30.0,False,58,skyblue,40
231,3,10,53,30.0,False,59,skyblue,40
232,3,10,53,30.0,False,60,skyblue,40
234,3,10,53,30.0,False,61,skyblue,40
235,3,10,53,30.0,False,62,skyblue,40
244,3,10,53,30.0,False,63,skyblue,40
146,3,10,53,30.0,False,64,skyblue,40
147,3,10,53,30.0,False,65,skyblue,40
151,3,10,53,30.0,False,66,skyblue,40
153,3,10,53,30.0,False,67,skyblue,40
154,3,10,53,30.0,False,68,skyblue,40
156,3,10,53,30.0,False,69,skyblue,40
157,3,10,53,30.0,False,70,skyblue,40
162,3,10,53,30.0,False,71,skyblue,40
163,3,10,53,30.0,False,72,skyblue,40
167,3,10,53,30.0,False,73,skyblue,40
168,3,10,53,30.0,False,74,skyblue,40
169,3,10,53,30.0,False,75,skyblue,40
170,3,10,53,30.0,False,76,skyblue,40
179,3,10,53,30.0,False,77,skyblue,40
182,3,10,53,30.0,False,78,skyblue,40
19,3,10,53,30.0,False,79,skyblue,40
5,3,10,53,30.0,False,80,skyblue,40
7,3,10,53,30.0,False,81,skyblue,40
8,3,10,53,30.0,False,82,skyblue,40
25,3,10,53,30.0,False,83,skyblue,40
21,3,10,53,30.0,False,84,skyblue,40
28,3,10,53,30.0,False,85,skyblue,40
39,3,10,53,30.0,False,86,skyblue,40
36,3,10,53,30.0,False,87,skyblue,40
34,3,10,53,30.0,False,88,skyblue,40
32,3,10,53,30.0,False,89,skyblue,40
31,3,10,53,30.0,False,90,skyblue,40
62,3,10,53,30.0,False,91,skyblue,40
69,3,10,53,30.0,False,92,skyblue,40
71,3,10,53,30.0,False,93,skyblue,40
73,3,10,53,30.0,False,94,skyblue,40
74,3,10,53,30.0,False,95,skyblue,40
42,3,10,53,30.0,False,96,skyblue,40
46,3,10,53,30.0,False,97,skyblue,40
48,3,10,53,30.0,False,98,skyblue,40
50,3,10,53,30.0,False,99,skyblue,40
51,3,10,53,30.0,False,100,skyblue,40
52,3,10,53,30.0,False,101,skyblue,40
53,3,10,53,30.0,False,102,skyblue,40
54,3,10,53,30.0,False,103,skyblue,40
57,3,10,53,30.0,False,104,skyblue,40
58,3,10,53,30.0,False,105,skyblue,40
60,3,10,53,30.0,False,106,skyblue,40
90,3,10,53,30.0,False,107,skyblue,40
105,3,10,53,30.0,False,108,skyblue,40
120,3,10,53,30.0,False,109,skyblue,40
122,3,10,53,30.0,False,110,skyblue,40
125,3,10,53,30.0,False,111,skyblue,40
75,3,10,53,30.0,False,112,skyblue,40
84,3,10,53,30.0,False,113,skyblue,40
86,3,10,53,30.0,False,114,skyblue,40
130,3,10,53,30.0,False,115,skyblue,40
128,3,10,53,30.0,False,116,skyblue,40
132,3,10,53,30.0,False,117,skyblue,40
142,3,10,53,30.0,False,118,skyblue,40
141,3,10,53,30.0,False,119,skyblue,40
140,3,10,53,30.0,False,120,skyblue,40
137,3,10,53,30.0,False,121,skyblue,40
134,3,10,53,30.0,False,122,skyblue,40
294,3,10,53,30.0,False,123,skyblue,40
295,3,10,53,30.0,False,124,skyblue,40
296,3,10,53,30.0,False,125,skyblue,40
298,3,10,53,30.0,False,126,skyblue,40
299,3,10,53,30.0,False,127,skyblue,40
245,3,10,53,30.0,False,128,skyblue,40
246,3,10,53,30.0,False,129,skyblue,40
251,3,10,53,30.0,False,130,skyblue,40
258,3,10,53,30.0,False,131,skyblue,40
260,3,10,53,30.0,False,132,skyblue,40
263,3,10,53,30.0,False,133,skyblue,40
264,3,10,53,30.0,False,134,skyblue,40
271,3,10,53,30.0,False,135,skyblue,40
273,3,10,53,30.0,False,136,skyblue,40
279,3,10,53,30.0,False,137,skyblue,40
281,3,10,53,30.0,False,138,skyblue,40
308,3,10,53,30.0,False,139,skyblue,40
309,3,10,53,30.0,False,140,skyblue,40
314,3,10,53,30.0,False,141,skyblue,40
328,3,10,53,30.0,False,142,skyblue,40
190,3,10,53,30.0,False,143,skyblue,40
197,3,10,53,30.0,False,144,skyblue,40
200,3,10,53,30.0,False,145,skyblue,40
204,3,10,53,30.0,False,146,skyblue,40
209,3,10,53,30.0,False,147,skyblue,40
217,3,10,53,30.0,False,148,skyblue,40
218,3,10,53,30.0,False,149,skyblue,40
221,3,10,53,30.0,False,150,skyblue,40
223,3,10,53,30.0,False,151,skyblue,40
226,3,10,53,30.0,False,152,skyblue,40
228,3,10,53,30.0,False,153,skyblue,40
230,3,10,53,30.0,False,154,skyblue,40
337,3,10,53,30.0,False,155,skyblue,40
333,3,10,53,30.0,False,156,skyblue,40
342,3,10,53,30.0,False,157,skyblue,40
306,3,10,53,30.0,False,158,skyblue,40
329,3,10,53,30.0,False,159,skyblue,40
302,3,10,53,30.0,False,160,skyblue,40
303,3,10,53,30.0,False,161,skyblue,40
334,2,10,163,20.0,False,162,skyblue,40
114,2,10,163,20.0,False,163,skyblue,40
127,2,10,163,20.0,False,164,skyblue,40
215,2,10,163,20.0,False,165,skyblue,40
72,2,10,163,20.0,False,166,skyblue,40
330,2,10,163,20.0,False,167,skyblue,40
171,2,10,163,20.0,False,168,skyblue,40
67,2,10,163,20.0,False,169,skyblue,40
144,2,10,163,20.0,False,170,skyblue,40
89,2,10,163,20.0,False,171,skyblue,40
149,1,10,173,10.0,False,172,skyblue,40
301,1,10,173,10.0,False,173,skyblue,40
102,1,10,173,10.0,False,174,skyblue,40
189,1,10,173,10.0,False,175,skyblue,40
344,1,10,173,10.0,False,176,skyblue,40
203,1,10,173,10.0,False,177,skyblue,40
186,1,10,173,10.0,False,178,skyblue,40
44,1,10,173,10.0,False,179,skyblue,40
35,1,10,173,10.0,False,180,skyblue,40
115,1,10,173,10.0,False,181,skyblue,40
37,1,10,173,10.0,False,182,skyblue,40
305,1,10,173,10.0,False,183,skyblue,40
214,1,10,173,10.0,False,184,skyblue,40
206,1,10,173,10.0,False,185,skyblue,40
63,1,10,173,10.0,False,186,skyblue,40
