labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note,x
187,0.04,0.0,0.0,1,1,1,False,,0
291,0.37,0.0,0.0,1,1,2,False,,1
168,0.41,0.0,0.0,1,1,3,False,,2
23,0.41,0.0,0.0,1,1,3,False,,3
199,0.41,0.0,0.0,1,1,3,False,,4
319,0.41,0.0,0.0,1,1,3,False,,5
242,0.41,0.0,0.0,1,1,3,False,,6
59,0.41,0.0,0.0,1,1,3,False,,7
336,0.82,0.0,0.0,1,1,9,False,,8
132,0.82,0.0,0.0,1,1,9,False,,9
138,1.23,0.0,0.0,1,1,11,False,,10
244,1.23,0.0,0.0,1,1,11,False,,11
39,1.23,0.0,0.0,1,1,11,False,,12
89,1.23,0.0,0.0,1,1,11,False,,13
44,1.23,0.0,0.0,1,1,11,False,,14
22,1.23,0.0,0.0,1,1,11,False,,15
446,1.23,0.0,0.0,1,1,11,False,,16
159,1.64,0.0,0.0,1,1,18,False,,17
156,1.64,0.0,0.0,1,1,18,False,,18
207,1.64,0.0,0.0,1,1,18,False,,19
45,1.64,0.0,0.0,1,1,18,False,,20
62,1.64,0.0,0.0,1,1,18,False,,21
55,1.64,0.0,0.0,1,1,18,False,,22
33,1.64,0.0,0.0,1,1,18,False,,23
279,1.64,0.0,0.0,1,1,18,False,,24
415,1.68,0.0,0.0,1,1,26,False,,25
100,2.05,0.0,0.0,1,1,27,False,,26
152,2.05,0.0,0.0,1,1,27,False,,27
391,2.05,0.0,0.0,1,1,27,False,,28
380,2.05,0.0,0.0,1,1,27,False,,29
219,2.46,0.0,0.0,1,1,31,False,,30
226,2.46,0.0,0.0,1,1,31,False,,31
301,2.46,0.0,0.0,1,1,31,False,,32
270,2.46,0.0,0.0,1,1,31,False,,33
337,2.46,0.0,0.0,1,1,31,False,,34
318,2.46,0.0,0.0,1,1,31,False,,35
407,2.46,0.0,0.0,1,1,31,False,,36
392,2.46,0.0,0.0,1,1,31,False,,37
205,2.46,0.0,0.0,1,1,31,False,,38
184,2.46,0.0,0.0,1,1,31,False,,39
69,2.46,0.0,0.0,1,1,31,False,,40
94,2.46,0.0,0.0,1,1,31,False,,41
157,2.46,0.0,0.0,1,1,31,False,,42
78,2.46,0.0,0.0,1,1,31,False,,43
129,2.46,0.0,0.0,1,1,31,False,,44
387,2.46,0.0,0.0,1,1,31,False,,45
506,2.46,0.0,0.0,1,1,31,False,,46
263,2.87,0.0,0.0,1,1,48,False,,47
213,2.87,0.0,0.0,1,1,48,False,,48
165,2.87,0.0,0.0,1,1,48,False,,49
82,2.87,0.0,0.0,1,1,48,False,,50
16,2.87,0.0,0.0,1,1,48,False,,51
492,2.87,0.0,0.0,1,1,48,False,,52
37,3.28,0.0,0.0,1,1,54,False,,53
151,3.28,0.0,0.0,1,1,54,False,,54
150,3.28,0.0,0.0,1,1,54,False,,55
281,3.28,0.0,0.0,1,1,54,False,,56
461,3.28,0.0,0.0,1,1,54,False,,57
409,3.69,0.0,0.0,1,1,59,False,,58
393,3.69,0.0,0.0,1,1,59,False,,59
220,3.69,0.0,0.0,1,1,59,False,,60
441,3.69,0.0,0.0,1,1,59,False,,61
352,3.69,0.0,0.0,1,1,59,False,,62
259,3.69,0.0,0.0,1,1,59,False,,63
420,3.69,0.0,0.0,1,1,59,False,,64
360,3.69,0.0,0.0,1,1,59,False,,65
412,4.1,0.0,0.0,1,1,67,False,,66
333,4.1,0.0,0.0,1,1,67,False,,67
68,4.1,0.0,0.0,1,1,67,False,,68
276,4.51,0.0,0.0,1,1,70,False,,69
310,4.51,0.0,0.0,1,1,70,False,,70
196,4.92,0.0,0.0,1,1,72,False,,71
419,4.92,0.0,0.0,1,1,72,False,,72
490,5.05,0.0,0.0,1,1,74,False,,73
214,5.33,0.0,0.0,1,1,75,False,,74
114,5.33,0.0,0.0,1,1,75,False,,75
113,5.74,0.0,0.0,1,1,77,False,,76
17,5.74,0.0,0.0,1,1,77,False,,77
208,5.74,0.0,0.0,1,1,77,False,,78
210,5.74,0.0,0.0,1,1,77,False,,79
344,5.74,0.0,0.0,1,1,77,False,,80
108,5.74,0.0,0.0,1,1,77,False,,81
370,5.74,0.0,0.0,1,1,77,False,,82
449,5.74,0.0,0.0,1,1,77,False,,83
8,5.74,0.0,0.0,1,1,77,False,,84
426,5.9,0.0,0.0,1,1,86,False,,85
92,6.15,0.0,0.0,1,1,87,False,,86
440,6.15,0.0,0.0,1,1,87,False,,87
240,6.15,0.0,0.0,1,1,87,False,,88
188,6.15,0.0,0.0,1,1,87,False,,89
185,6.35,0.0,0.0,1,1,91,False,,90
325,6.56,0.0,0.0,1,1,92,False,,91
418,6.56,0.0,0.0,1,1,92,False,,92
448,6.56,0.0,0.0,1,1,92,False,,93
258,6.56,0.0,0.0,1,1,92,False,,94
312,6.56,0.0,0.0,1,1,92,False,,95
206,6.56,0.0,0.0,1,1,92,False,,96
195,6.56,0.0,0.0,1,1,92,False,,97
12,6.56,0.0,0.0,1,1,92,False,,98
1,6.56,0.0,0.0,1,1,92,False,,99
47,6.56,0.0,0.0,1,1,92,False,,100
484,6.67,0.0,0.0,1,1,102,False,,101
512,6.68,0.0,0.0,1,1,103,False,,102
85,6.97,0.0,0.0,1,1,104,False,,103
324,6.97,0.0,0.0,1,1,104,False,,104
71,7.38,0.0,0.0,1,1,106,False,,105
451,7.38,0.0,0.0,1,1,106,False,,106
43,7.79,0.0,0.0,1,1,108,False,,107
83,7.79,0.0,0.0,1,1,108,False,,108
466,7.79,0.0,0.0,1,1,108,False,,109
313,8.2,0.0,0.0,1,1,111,False,,110
329,8.61,0.0,0.0,1,1,112,False,,111
170,8.61,0.0,0.0,1,1,112,False,,112
53,9.02,0.0,0.0,1,1,114,False,,113
273,9.02,0.0,0.0,1,1,114,False,,114
209,9.02,0.0,0.0,1,1,114,False,,115
443,9.43,0.0,0.0,1,1,117,False,,116
328,9.43,0.0,0.0,1,1,117,False,,117
509,9.84,0.0,0.0,1,1,119,False,,118
439,9.84,0.0,0.0,1,1,119,False,,119
192,9.84,0.0,0.0,1,1,119,False,,120
405,9.84,0.0,0.0,1,1,119,False,,121
346,9.84,0.0,0.0,1,1,119,False,,122
294,9.84,0.0,0.0,1,1,119,False,,123
454,9.84,0.0,0.0,1,1,119,False,,124
212,9.84,0.0,0.0,1,1,119,False,,125
143,9.84,0.0,0.0,1,1,119,False,,126
21,10.25,0.0,0.0,1,1,128,False,,127
348,10.66,0.0,0.0,1,1,129,False,,128
147,10.66,0.0,0.0,1,1,129,False,,129
343,10.66,0.0,0.0,1,1,129,False,,130
28,10.66,0.0,0.0,1,1,129,False,,131
178,10.66,0.0,0.0,1,1,129,False,,132
300,10.66,0.0,0.0,1,1,129,False,,133
266,11.07,0.0,0.0,1,1,135,False,,134
303,11.07,0.0,0.0,1,1,135,False,,135
505,11.07,0.0,0.0,1,1,135,False,,136
41,11.48,0.0,0.0,1,1,138,False,,137
504,11.89,0.0,0.0,1,1,139,False,,138
416,11.89,0.0,0.0,1,1,139,False,,139
125,12.3,0.0,0.0,1,1,141,False,,140
148,12.3,0.0,0.0,1,1,141,False,,141
382,12.3,0.0,0.0,1,1,141,False,,142
315,12.3,0.0,0.0,1,1,141,False,,143
74,12.3,0.0,0.0,1,1,141,False,,144
4,12.7,0.0,0.0,1,1,146,False,,145
202,13.11,0.0,0.0,1,1,147,False,,146
189,13.11,0.0,0.0,1,1,147,False,,147
355,13.93,0.0,0.0,1,1,149,False,,148
233,13.93,0.0,0.0,1,1,149,False,,149
140,13.93,0.0,0.0,1,1,149,False,,150
122,13.93,0.0,0.0,1,1,149,False,,151
404,13.93,0.0,0.0,1,1,149,False,,152
414,13.93,0.0,0.0,1,1,149,False,,153
278,13.93,0.0,0.0,1,1,149,False,,154
371,13.93,0.0,0.0,1,1,149,False,,155
487,13.93,0.0,0.0,1,1,149,False,,156
269,13.93,0.0,0.0,1,1,149,False,,157
339,14.34,0.0,0.0,1,1,159,False,,158
471,14.34,0.0,0.0,1,1,159,False,,159
218,14.34,0.0,0.0,1,1,159,False,,160
201,14.75,0.0,0.0,1,1,162,False,,161
491,14.75,0.0,0.0,1,1,162,False,,162
232,14.75,0.0,0.0,1,1,162,False,,163
119,14.75,0.0,0.0,1,1,162,False,,164
177,14.75,0.0,0.0,1,1,162,False,,165
204,15.57,0.0,0.0,1,1,167,False,,166
58,15.57,0.0,0.0,1,1,167,False,,167
347,15.98,0.0,0.0,1,1,169,False,,168
116,15.98,0.0,0.0,1,1,169,False,,169
133,16.8,0.0,0.0,1,1,171,False,,170
224,16.8,0.0,0.0,1,1,171,False,,171
498,16.8,0.0,0.0,1,1,171,False,,172
261,17.21,0.0,0.0,1,1,174,False,,173
334,17.21,0.0,0.0,1,1,174,False,,174
63,17.62,0.0,0.0,1,1,176,False,,175
425,17.62,0.0,0.0,1,1,176,False,,176
320,18.03,0.0,0.0,1,1,178,False,,177
455,18.03,0.0,0.0,1,1,178,False,,178
197,18.03,0.0,0.0,1,1,178,False,,179
126,18.03,0.0,0.0,1,1,178,False,,180
225,18.44,0.0,0.0,1,1,182,False,,181
302,18.44,0.0,0.0,1,1,182,False,,182
54,18.85,0.0,0.0,1,1,184,False,,183
331,18.85,0.0,0.0,1,1,184,False,,184
358,18.85,0.0,0.0,1,1,184,False,,185
131,18.85,0.0,0.0,1,1,184,False,,186
26,19.67,0.0,0.0,1,1,188,False,,187
295,19.67,0.0,0.0,1,1,188,False,,188
80,19.67,0.0,0.0,1,1,188,False,,189
363,20.08,0.0,0.0,1,1,191,False,,190
19,20.9,0.0,0.0,1,1,192,False,,191
399,20.9,0.0,0.0,1,1,192,False,,192
234,21.31,0.0,0.0,1,1,194,False,,193
96,21.72,0.0,0.0,1,1,195,False,,194
254,22.13,0.0,0.0,1,1,196,False,,195
179,22.13,0.0,0.0,1,1,196,False,,196
223,22.13,0.0,0.0,1,1,196,False,,197
222,22.13,0.0,0.0,1,1,196,False,,198
408,22.95,0.0,0.0,1,1,200,False,,199
427,22.95,0.0,0.0,1,1,200,False,,200
384,22.95,0.0,0.0,1,1,200,False,,201
158,22.95,0.0,0.0,1,1,200,False,,202
167,22.95,0.0,0.0,1,1,200,False,,203
475,25.0,0.0,0.0,1,1,205,False,,204
434,25.0,0.0,0.0,1,1,205,False,,205
149,26.23,0.0,0.0,1,1,207,False,,206
84,26.23,0.0,0.0,1,1,207,False,,207
421,27.05,0.0,0.0,1,1,209,False,,208
359,27.05,0.0,0.0,1,1,209,False,,209
109,27.05,0.0,0.0,1,1,209,False,,210
191,27.46,0.0,0.0,1,1,212,False,,211
230,28.69,0.0,0.0,1,1,213,False,,212
362,29.1,0.0,0.0,1,1,214,False,,213
13,30.33,0.0,0.0,1,1,215,False,,214
161,30.33,0.0,0.0,1,1,215,False,,215
121,31.15,0.0,0.0,1,1,217,False,,216
35,31.15,0.0,0.0,1,1,217,False,,217
30,31.15,0.0,0.0,1,1,217,False,,218
93,31.15,0.0,0.0,1,1,217,False,,219
38,31.15,0.0,0.0,1,1,217,False,,220
464,31.56,0.0,0.0,1,1,222,False,,221
445,34.84,0.0,0.0,1,1,223,False,,222
397,34.84,0.0,0.0,1,1,223,False,,223
76,35.25,0.0,0.0,1,1,225,False,,224
25,38.52,0.0,0.0,1,1,226,False,,225
181,38.52,0.0,0.0,1,1,226,False,,226
144,40.16,0.0,0.0,1,1,228,False,,227
507,43.44,0.0,0.0,1,1,229,False,,228
485,43.44,0.0,0.0,1,1,229,False,,229
326,46.72,0.0,0.0,1,1,231,False,,230
88,47.54,0.0,0.0,1,1,232,False,,231
172,47.54,0.0,0.0,1,1,232,False,,232
442,49.18,0.0,0.0,1,1,234,False,,233
