labcode,bias_mean_2024,bias_variance_2024,bias_std_2024,n_measurements,n_files,rank_2024,is_special,special_note
9,0.0,0.0,0.0,1,1,1,False,
56,0.0,0.0,0.0,1,1,1,False,
53,0.0,0.0,0.0,1,1,1,False,
122,0.0,0.0,0.0,1,1,1,False,
258,0.0,0.0,0.0,1,1,1,False,
260,0.0,0.0,0.0,1,1,1,False,
456,0.0,0.0,0.0,1,1,1,False,
386,0.0,0.0,0.0,1,1,1,False,
179,0.31,0.0,0.0,1,1,9,False,
97,0.41,0.0,0.0,1,1,10,False,
174,0.51,0.0,0.0,1,1,11,False,
5,0.51,0.0,0.0,1,1,11,True,2024 Special Lab
44,0.51,0.0,0.0,1,1,11,False,
395,0.51,0.0,0.0,1,1,11,False,
86,0.87,0.0,0.0,1,1,15,False,
58,1.03,0.0,0.0,1,1,16,False,
354,1.03,0.0,0.0,1,1,16,False,
238,1.03,0.0,0.0,1,1,16,False,
453,1.03,0.0,0.0,1,1,16,False,
6,1.08,0.0,0.0,1,1,20,False,
1,1.28,0.0,0.0,1,1,21,False,
382,1.44,0.0,0.0,1,1,22,False,
74,1.54,0.0,0.0,1,1,23,False,
41,1.54,0.0,0.0,1,1,23,False,
171,1.54,0.0,0.0,1,1,23,False,
412,1.54,0.0,0.0,1,1,23,False,
26,1.54,0.0,0.0,1,1,23,False,
347,2.05,0.0,0.0,1,1,28,False,
214,2.05,0.0,0.0,1,1,28,False,
304,2.05,0.0,0.0,1,1,28,False,
397,2.05,0.0,0.0,1,1,28,False,
334,2.05,0.0,0.0,1,1,28,False,
476,2.05,0.0,0.0,1,1,28,False,
474,2.05,0.0,0.0,1,1,28,False,
4,2.31,0.0,0.0,1,1,35,False,
422,2.56,0.0,0.0,1,1,36,False,
421,2.56,0.0,0.0,1,1,36,False,
428,2.56,0.0,0.0,1,1,36,False,
378,2.56,0.0,0.0,1,1,36,False,
210,2.56,0.0,0.0,1,1,36,False,
242,2.56,0.0,0.0,1,1,36,False,
306,2.56,0.0,0.0,1,1,36,False,
50,2.56,0.0,0.0,1,1,36,False,
467,2.56,0.0,0.0,1,1,36,False,
25,2.82,0.0,0.0,1,1,45,False,
264,2.83,0.0,0.0,1,1,46,False,
147,2.87,0.0,0.0,1,1,47,False,
312,3.08,0.0,0.0,1,1,48,False,
229,3.08,0.0,0.0,1,1,48,False,
340,3.08,0.0,0.0,1,1,48,False,
114,3.08,0.0,0.0,1,1,48,False,
112,3.08,0.0,0.0,1,1,48,False,
414,3.59,0.0,0.0,1,1,53,False,
84,3.59,0.0,0.0,1,1,53,False,
18,3.59,0.0,0.0,1,1,53,False,
81,3.64,0.0,0.0,1,1,56,False,
29,4.1,0.0,0.0,1,1,57,False,
218,4.1,0.0,0.0,1,1,57,False,
455,4.1,0.0,0.0,1,1,57,False,
390,4.1,0.0,0.0,1,1,57,False,
72,4.1,0.0,0.0,1,1,57,False,
216,4.15,0.0,0.0,1,1,62,False,
54,4.51,0.0,0.0,1,1,63,False,
230,4.62,0.0,0.0,1,1,64,False,
346,4.62,0.0,0.0,1,1,64,False,
461,4.87,0.0,0.0,1,1,66,False,
76,5.13,0.0,0.0,1,1,67,False,
40,5.13,0.0,0.0,1,1,67,False,
71,5.13,0.0,0.0,1,1,67,False,
404,5.13,0.0,0.0,1,1,67,False,
315,5.13,0.0,0.0,1,1,67,False,
388,5.13,0.0,0.0,1,1,67,False,
14,5.33,0.0,0.0,1,1,73,False,
39,5.44,0.0,0.0,1,1,74,False,
367,5.64,0.0,0.0,1,1,75,False,
501,5.64,0.0,0.0,1,1,75,False,
223,5.64,0.0,0.0,1,1,75,False,
375,5.9,0.0,0.0,1,1,78,False,
349,5.9,0.0,0.0,1,1,78,False,
148,6.05,0.0,0.0,1,1,80,False,
100,6.15,0.0,0.0,1,1,81,False,
379,6.67,0.0,0.0,1,1,82,False,
158,6.67,0.0,0.0,1,1,82,False,
256,6.67,0.0,0.0,1,1,82,False,
166,6.67,0.0,0.0,1,1,82,False,
3,6.67,0.0,0.0,1,1,82,False,
399,7.18,0.0,0.0,1,1,87,False,
431,7.18,0.0,0.0,1,1,87,False,
376,7.69,0.0,0.0,1,1,89,False,
329,7.69,0.0,0.0,1,1,89,False,
333,7.69,0.0,0.0,1,1,89,False,
353,7.69,0.0,0.0,1,1,89,False,
33,7.69,0.0,0.0,1,1,89,False,
156,8.21,0.0,0.0,1,1,94,False,
239,8.21,0.0,0.0,1,1,94,False,
129,8.21,0.0,0.0,1,1,94,False,
43,8.21,0.0,0.0,1,1,94,False,
45,8.21,0.0,0.0,1,1,94,False,
243,8.26,0.0,0.0,1,1,99,False,
261,8.67,0.0,0.0,1,1,100,False,
471,8.72,0.0,0.0,1,1,101,False,
358,8.72,0.0,0.0,1,1,101,False,
286,8.72,0.0,0.0,1,1,101,False,
240,8.72,0.0,0.0,1,1,101,False,
224,9.13,0.0,0.0,1,1,105,False,
151,9.18,0.0,0.0,1,1,106,False,
21,9.23,0.0,0.0,1,1,107,False,
418,9.23,0.0,0.0,1,1,107,False,
445,9.44,0.0,0.0,1,1,109,False,
440,9.59,0.0,0.0,1,1,110,False,
236,9.95,0.0,0.0,1,1,111,False,
321,10.05,0.0,0.0,1,1,112,False,
184,10.26,0.0,0.0,1,1,113,False,
447,10.26,0.0,0.0,1,1,113,False,
439,10.51,0.0,0.0,1,1,115,False,
446,10.77,0.0,0.0,1,1,116,False,
487,10.77,0.0,0.0,1,1,116,False,
234,10.77,0.0,0.0,1,1,116,False,
59,10.77,0.0,0.0,1,1,116,False,
164,11.28,0.0,0.0,1,1,120,False,
175,11.28,0.0,0.0,1,1,120,False,
345,11.79,0.0,0.0,1,1,122,False,
253,12.31,0.0,0.0,1,1,123,False,
385,12.62,0.0,0.0,1,1,124,False,
7,12.72,0.0,0.0,1,1,125,False,
308,12.77,0.0,0.0,1,1,126,False,
8,12.82,0.0,0.0,1,1,127,False,
140,12.82,0.0,0.0,1,1,127,False,
434,12.82,0.0,0.0,1,1,127,False,
326,12.82,0.0,0.0,1,1,127,False,
70,12.92,0.0,0.0,1,1,131,False,
244,12.97,0.0,0.0,1,1,132,False,
443,13.33,0.0,0.0,1,1,133,False,
433,13.33,0.0,0.0,1,1,133,False,
473,13.33,0.0,0.0,1,1,133,False,
161,13.33,0.0,0.0,1,1,133,False,
348,13.69,0.0,0.0,1,1,137,False,
400,14.1,0.0,0.0,1,1,138,False,
298,14.36,0.0,0.0,1,1,139,False,
287,14.36,0.0,0.0,1,1,139,False,
270,14.82,0.0,0.0,1,1,141,False,
254,14.87,0.0,0.0,1,1,142,False,
131,14.87,0.0,0.0,1,1,142,False,
106,14.87,0.0,0.0,1,1,142,False,
245,14.92,0.0,0.0,1,1,145,False,
93,15.38,0.0,0.0,1,1,146,False,
159,15.38,0.0,0.0,1,1,146,False,
176,15.38,0.0,0.0,1,1,146,False,
98,15.9,0.0,0.0,1,1,149,False,
313,15.9,0.0,0.0,1,1,149,False,
68,16.41,0.0,0.0,1,1,151,False,
178,16.41,0.0,0.0,1,1,151,False,
209,16.92,0.0,0.0,1,1,153,False,
16,16.92,0.0,0.0,1,1,153,False,
505,17.08,0.0,0.0,1,1,155,False,
226,17.44,0.0,0.0,1,1,156,False,
55,17.44,0.0,0.0,1,1,156,False,
107,17.95,0.0,0.0,1,1,158,False,
145,17.95,0.0,0.0,1,1,158,False,
317,17.95,0.0,0.0,1,1,158,False,
219,20.0,0.0,0.0,1,1,161,False,
78,20.05,0.0,0.0,1,1,162,False,
89,20.51,0.0,0.0,1,1,163,False,
197,20.51,0.0,0.0,1,1,163,False,
262,21.03,0.0,0.0,1,1,165,False,
28,21.54,0.0,0.0,1,1,166,False,
250,21.54,0.0,0.0,1,1,166,False,
62,21.54,0.0,0.0,1,1,166,False,
196,23.95,0.0,0.0,1,1,169,False,
507,24.1,0.0,0.0,1,1,170,False,
275,24.26,0.0,0.0,1,1,171,False,
85,24.62,0.0,0.0,1,1,172,False,
152,25.13,0.0,0.0,1,1,173,False,
300,25.13,0.0,0.0,1,1,173,False,
274,28.21,0.0,0.0,1,1,175,False,
355,28.21,0.0,0.0,1,1,175,False,
341,28.72,0.0,0.0,1,1,177,False,
80,28.72,0.0,0.0,1,1,177,False,
406,29.23,0.0,0.0,1,1,179,False,
99,30.26,0.0,0.0,1,1,180,False,
20,30.26,0.0,0.0,1,1,180,False,
118,32.1,0.0,0.0,1,1,182,False,
162,33.33,0.0,0.0,1,1,183,False,
203,33.85,0.0,0.0,1,1,184,False,
157,36.92,0.0,0.0,1,1,185,False,
31,37.03,0.0,0.0,1,1,186,False,
325,38.97,0.0,0.0,1,1,187,False,
330,39.03,0.0,0.0,1,1,188,False,
120,41.54,0.0,0.0,1,1,189,False,
24,45.13,0.0,0.0,1,1,190,False,
484,48.72,0.0,0.0,1,1,191,False,
160,51.28,0.0,0.0,1,1,192,False,
285,52.72,0.0,0.0,1,1,193,False,
67,58.51,0.0,0.0,1,1,194,False,
424,77.95,0.0,0.0,1,1,195,False,
269,94.87,0.0,0.0,1,1,196,False,
427,100.0,0.0,0.0,1,1,197,False,
370,139.64,0.0,0.0,1,1,198,False,
